text	label_A	label_B	label_C	label_A_enc	label_B_enc	label_C_enc	sentiment	respect	insult	humiliate	status	dehumanize	attack_defend	hatespeech	target_race	target_religion	target_origin	target_gender	target_sexuality
#DhoniKeepsTheGlove | WATCH: Sports Minister Kiren Rijiju issues statement backing MS Dhoni over 'Balidaan Badge', tells BCCI to take up the matter with ICC and keep government in the know as nation's pride is involved    https://t.co/zuo5335Rjr	NOT	NONE	NONE	0			1.4261330366134644	1.0265865325927734	0.7156257033348083	0.6578894257545471	1.8180861473083496	0.5279455184936523	1.3764597177505493	0.03854382038116455	0.0	0.0	0.0	0.0	1.0
@politico No. We should remember very clearly that #Individual1 just admitted to treason . #TrumpIsATraitor  #McCainsAHero #JohnMcCainDay	HOF	HATE	TIN	1	0.0	1.0	2.82580304145813	2.305354595184326	1.8951538801193237	1.7395174503326416	2.1474320888519287	1.3307733535766602	2.0716135501861572	0.32836270332336426	0.0	0.0	0.0	0.0	0.0
@cricketworldcup Guess who would be the winner of this #CWC19?     Team who gets maximum points from the abandoned matches 😄 #ShameOnICC #WIvsENG @ICC	NOT	NONE	NONE	0			2.200265645980835	1.943476915359497	1.553963541984558	1.374422550201416	2.086455821990967	0.971534788608551	1.9307485818862915	0.07670139521360397	1.0	0.0	0.0	0.0	0.0
Corbyn is too politically intellectual for #BorisJohnsonShouldNotBePM   Can't wait   #GeneralElectionNow https://t.co/pt8KmjfxJj	NOT	NONE	NONE	0			2.9470324516296387	2.8030691146850586	2.5239360332489014	2.175248861312866	2.54569673538208	1.4654853343963623	2.6274263858795166	0.27233007550239563	0.0	0.0	0.0	0.0	0.0
All the best to #TeamIndia for another swimming competition on Sunday against #Pakistan.     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/MG2cIE0zib	NOT	NONE	NONE	0			0.6990873217582703	0.6755814552307129	0.431476891040802	0.40238523483276367	1.6096168756484985	0.3446875512599945	1.2450441122055054	0.01213471032679081	0.0	0.0	1.0	0.0	0.0
@kellymiller513 @TheRealOJ32 I hope you remembered to wipe the blood off of you, after the pic was taken.  #bloodonhishands #murderer	NOT	NONE	NONE	0			3.06778883934021	2.6815171241760254	2.323493480682373	2.150822162628174	2.3604776859283447	1.7155497074127197	2.340583562850952	0.595920979976654	0.0	0.0	0.0	0.0	0.0
@ICC Latest design of #WC2019 trophy. #CWC2019 #CWC19 #ShameOnICC https://t.co/g3mRuphBzE	NOT	NONE	NONE	0			2.2376019954681396	2.044055938720703	1.641445517539978	1.5431756973266602	2.0771045684814453	1.2608885765075684	1.8857067823410034	0.12502560019493103	0.0	0.0	0.0	1.0	0.0
#ADOS #trendingnow #blacklivesmatter #justice #fucktrump  ‘Central Park Five’ Prosecutor Elizabeth Lederer Out at Columbia Law School https://t.co/7S1Lu7wi53	HOF	PRFN	TIN	1	2.0	1.0	2.7250044345855713	2.0836048126220703	1.6560543775558472	1.5017409324645996	2.1553401947021484	1.0952297449111938	1.861868977546692	0.20795580744743347	1.0	0.0	0.0	0.0	0.0
Thanks for your support! Wow 600k. Graffiti has a massive impact nowadays, do not forget to show your own opinion!     #AllColorsAreBeautiful   #PowerToThePeople  #FuckRacism   #FuckTrump   #MakeLoveNotWar… https://t.co/4hc5UiDgLj	NOT	NONE	NONE	0			2.655388116836548	2.4521780014038086	2.1106016635894775	1.8656158447265625	2.2671377658843994	1.5278007984161377	2.1694490909576416	0.6221667528152466	1.0	0.0	0.0	0.0	0.0
By wearing the #BalidaanBadge over his gloves @msdhoni has shown his love &amp; respect for the forces.     @icc should understand that this is not related to any political/religious/racial activities    This is about our #NationalPride    #DhoniKeepsTheGlove	NOT	NONE	NONE	0			0.5390335917472839	0.3236744999885559	0.2139689028263092	0.19449280202388763	1.7969993352890015	0.20314888656139374	0.9621694087982178	-0.0003641415387392044	1.0	0.0	0.0	0.0	0.0
Mahendra Singh Dhoni's love for the Nation, Armed Forces and Soldiers has been intact which is truly commendable. He is Nation's Hero. No one represents our Country better than him. I stand with @msdhoni  #DhoniKeepsTheGlove #DhoniKeSaathDesh   #IndiaWithDhoni https://t.co/xFO4KNyj8b	NOT	NONE	NONE	0			0.33460214734077454	0.31589770317077637	0.22578401863574982	0.20316840708255768	1.4393366575241089	0.1902228742837906	0.9480416178703308	0.011206584051251411	0.0	0.0	1.0	0.0	0.0
I don’t know how much more I can take! 45 is a compulsive liar! #Trump30Hours #TrumpIsATraitor	HOF	HATE	TIN	1	0.0	1.0	3.6628496646881104	3.524754047393799	3.2067530155181885	2.8411715030670166	2.9533164501190186	2.1415963172912598	3.0513694286346436	0.793107271194458	0.0	0.0	0.0	0.0	0.0
